Number,Sale.Date,Full Address,Bathrooms,Age,Total$,Land Area m2,Flrm2,Land$,Capital$,Brms,Pirimai,Onekawa,Marewa,Hospital Hill,Bluff Hill,flooding_status,flooding_zone
12108,05/04/2021,107 Oak Rd,2,0,"$825,000",8490,0,"$790,000","$790,000",4,0,0,0,0,0,1,0
12097,01/04/2021,136 B Te Awa Av,2,0,"$1,150,000",593,0,"$350,000","$350,000",0,0,0,0,0,0,1,0
12098,01/04/2021,136 C Te Awa Av,2,0,"$1,150,000",593,0,"$285,000","$285,000",3,0,0,0,0,0,1,0
12079,29/03/2021,4 WHANGAEHU PL,2,0,"$340,000",563,0,"$285,000","$285,000",3,0,0,0,0,0,0,0
12069,26/03/2021,70 Pelorus Av,1,0,"$444,000",641,0,"$330,000","$330,000",-,0,0,0,0,0,0,0
12070,26/03/2021,4 RUAPEHU RD,2,0,"$358,261",670,0,"$340,000","$340,000",4,0,0,0,0,0,0,0
12060,24/03/2021,252 Meeanee Rd,3,0,"$515,000",2739,0,"$385,000","$393,000",4,0,0,0,0,0,0,0
11944,05/03/2021,27 Howard Rd,2,0,"$370,000",410,0,"$260,000","$260,000",3,0,0,0,0,0,1,0
11932,04/03/2021,3 WHANGAEHU PL,2,0,"$340,000",488,0,"$275,000","$275,000",3,0,0,0,0,0,1,0
11914,01/03/2021,35 Coronation St,3,0,"$590,000",307,0,"$600,000","$600,000",4,0,0,0,0,0,1,0
11886,23/02/2021,Oak Rd,,RB,"$435,000",886,0,"$975,000","$975,000",0,0,0,0,0,0,0,0
11887,23/02/2021,93 Oak Rd,1,0,"$435,000",886,0,"$430,000","$430,000",-,0,0,0,0,0,0,0
11882,23/02/2021,25 West Pl,2,0,"$300,000",540,0,"$390,000","$390,000",2,0,0,0,0,0,0,0
11863,19/02/2021,6 WHANGAEHU PL,3,0,"$340,000",563,0,"$285,000","$285,000",4,0,0,0,0,0,0,0
11829,14/02/2021,Oak Rd,,RB,"$495,000",1171,0,"$975,000","$975,000",0,0,0,0,0,0,0,0
11830,14/02/2021,95 Oak Rd,1,0,"$495,000",1171,0,"$485,000","$485,000",-,0,0,0,0,0,0,0
11799,09/02/2021,Oak Rd,,RB,"$342,500",721,0,"$975,000","$975,000",0,0,0,0,0,0,1,0
11800,09/02/2021,67 Oak Rd,2,0,"$342,500",721,0,"$340,000","$340,000",3,0,0,0,0,0,1,0
